id_questao;missao;pergunta;alternativa_certa;texto_alternativa_a;texto_alternativa_b;texto_alternativa_c;texto_alternativa_d;texto_alternativa_e;texto_alternativa_certa
"M1_Q16";1;"No contexto da disciplina o projeto deve ser desenvolvido em quantas etapas de entrega e em quais paradigmas?";"c";"Uma unica etapa no paradigma imperativo.";"Duas etapas no paradigma funcional e orientada a objetos.";"Duas etapas nos paradigmas funcional e logico.";"Tres etapas nos paradigmas imperativo funcional e logico.";"Uma unica etapa no paradigma logico.";"Duas etapas nos paradigmas funcional e logico."
"M1_Q17";1;"De acordo com o material quantos alunos devem compor cada grupo para o projeto?";"b";"2 pessoas.";"4 pessoas.";"5 pessoas.";"3 pessoas.";"6 pessoas.";"4 pessoas."
"M1_Q18";1;"Qual a porcentagem da nota 1 que corresponde a mini-prova?";"a";"80%.";"20%.";"50%.";"35%.";"15%.";"80%."
"M1_Q19";1;"O que e a "Avaliacao Preguicosa" (lazy evaluation) caracteristica do Haskell?";"a";"Uma forma de a linguagem ignorar erros de recursao.";"Um recurso que forca a execucao de todas as chamadas de uma vez.";"Um mecanismo que garante que a funcao retorne um valor inteiro.";"Um recurso que permite a linguagem trabalhar com listas infinitas avaliando apenas o necessario.";"Uma caracteristica que permite a criacao de variaveis mutaveis.";"Um recurso que permite a linguagem trabalhar com listas infinitas avaliando apenas o necessario."
"M1_Q20";1;"Qual a diferenca entre os tipos `Int` e `Integer` em Haskell segundo o material?";"d";"`Int` e usado para numeros de ponto flutuante e `Integer` para inteiros.";"`Integer` e um tipo de dados mais antigo e obsoleto.";"`Int` e para inteiros de precisao fixa enquanto `Integer` e para inteiros de precisao arbitraria.";"Essa informacao nao e abordada no material fornecido.";"Nao ha diferenca entre os dois tipos.";"Essa informacao nao e abordada no material fornecido."
"M2_Q01";2;"De acordo com o material qual e a principal caracteristica da programacao funcional que a distingue da imperativa?";"c";"O uso de variaveis mutaveis.";"A modificacao do estado de variaveis.";"A ausencia de mudanca de estado baseada em funcoes matematicas.";"O uso de lacos de repeticao.";"A sintaxe similar a linguagens como C e Java.";"A ausencia de mudanca de estado baseada em funcoes matematicas."
"M2_Q02";2;"Em Haskell o que representa a notacao `(a:as)` em um casamento de padroes para listas?";"b";"`a` e o ultimo elemento e `as` e o restante da lista.";"`a` e a cabeca (primeiro elemento) e `as` e a cauda (corpo) da lista.";"`a` e a lista completa e `as` e um elemento da lista.";"`a` e um contador e `as` e o resultado final.";"`a` e `as` sao listas separadas.";"`a` e a cabeca (primeiro elemento) e `as` e a cauda (corpo) da lista."
"M2_Q03";2;"Qual e o nome da funcao em Haskell que retorna o primeiro elemento de uma lista?";"d";"`tail`.";"`last`.";"`drop`.";"`head`.";"`length`.";"`head`."
"M2_Q04";2;"O que a expressao `[1 3..7]` em Haskell resulta?";"a";"Uma lista com os numeros [1 3 5 7].";"Uma lista com os numeros [1 2 3 4 5 6 7].";"Um erro de sintaxe.";"Uma lista vazia.";"O numero 7.";"Uma lista com os numeros [1 3 5 7]."
"M2_Q05";2;"Em Haskell por que a clausula `else` e obrigatoria em uma expressao `if-then-else`?";"b";"Porque a sintaxe da linguagem exige uma estrutura completa.";"Porque o `if` em Haskell e uma expressao que deve retornar um valor em qualquer caso.";"Para evitar erros de compilacao.";"Apenas por uma questao de boa pratica de programacao.";"Nao e obrigatoria a clausula `else` pode ser omitida.";"Porque o `if` em Haskell e uma expressao que deve retornar um valor em qualquer caso."
"M2_Q06";2;"O que sao as clausulas `where` de acordo com o material?";"e";"Condicoes para que a funcao seja executada.";"Um tipo de `if-then-else` simplificado.";"Variaveis globais que podem ser modificadas.";"Comandos de atribuicao.";"Estruturas para definir valores ou funcoes locais evitando repeticao de codigo.";"Estruturas para definir valores ou funcoes locais evitando repeticao de codigo."
"M2_Q07";2;"Qual das seguintes opcoes descreve a caracteristica de "avaliacao preguicosa" (lazy evaluation) do Haskell?";"d";"A linguagem avalia todas as expressoes imediatamente.";"A linguagem ignora erros de recursao.";"O compilador otimiza o codigo antes da execucao.";"A linguagem avalia as expressoes apenas quando seus resultados sao necessarios permitindo listas infinitas.";"A linguagem forca o programador a definir todos os tipos explicitamente.";"A linguagem avalia as expressoes apenas quando seus resultados sao necessarios permitindo listas infinitas."
"M2_Q08";2;"O que e um "casamento de padroes" (pattern matching) em Haskell?";"a";"Um metodo de ordenacao de dados em uma lista.";"Uma forma de verificar se uma condicao e verdadeira ou falsa.";"Uma sequencia de padroes que e usada para escolher entre diferentes definicoes de uma funcao.";"Uma maneira de declarar multiplas variaveis.";"A atribuicao de um valor a uma variavel.";"Uma sequencia de padroes que e usada para escolher entre diferentes definicoes de uma funcao."
"M2_Q09";2;"Em Haskell como uma funcao que recebe um `Int` e retorna um `Bool` e prototipada?";"c";"`funcao :: Int`";"`funcao -> Int Bool`";"`funcao :: Int -> Bool`";"`funcao = Int -> Bool`";"`funcao : Int -> Bool`";"`funcao :: Int -> Bool`"
"M2_Q10";2;"Qual dos seguintes tipos de dados e de precisao arbitraria em Haskell?";"b";"`Int`";"`Integer`";"`Float`";"`Double`";"`Char`";"`Integer`"
"M2_Q11";2;"O que a expressao `[x*2 | x <- [1..5]; odd x]` resulta em Haskell?";"d";"Uma lista com todos os numeros impares de 1 a 5.";"Uma lista com os quadrados dos numeros impares de 1 a 5.";"Uma lista com o dobro de todos os numeros de 1 a 5.";"Uma lista com o dobro dos numeros impares de 1 a 5; que e `[2; 6; 10]`.";"Uma lista vazia.";"Uma lista com o dobro dos numeros impares de 1 a 5; que e `[2; 6; 10]`."
"M2_Q11";4;"O que e um 'type class' (classe de tipo) em Haskell?";"c";"Uma classe que define um tipo de dado especifico.";"Um mecanismo para heranca de classes similar a linguagens orientadas a objetos.";"Um conjunto de funcoes que se aplicam a um grupo de tipos permitindo a reutilizacao de codigo polimorfico.";"Uma forma de criar variaveis mutaveis.";"A definicao de um novo tipo de dado em uma lista.";"Um conjunto de funcoes que se aplicam a um grupo de tipos permitindo a reutilizacao de codigo polimorfico."
"M2_Q12";2;"O que e uma funcao de ordem superior (higher-order function)?";"a";"Uma funcao que recebe apenas um argumento e retorna um valor.";"Uma funcao que nao pode receber outras funcoes como argumento.";"Uma funcao que tem apenas um tipo de retorno.";"Uma funcao que pode receber outras funcoes como argumentos ou retornar uma funcao como resultado.";"Uma funcao que sempre retorna um valor booleano.";"Uma funcao que pode receber outras funcoes como argumentos ou retornar uma funcao como resultado."
"M2_Q13";2;"No material a funcao `map` e um exemplo de funcao de ordem superior. Qual sua finalidade?";"c";"Remover elementos de uma lista que nao satisfazem uma condicao.";"Acumular todos os elementos de uma lista em um unico valor.";"Aplicar uma funcao a cada elemento de uma lista e retornar uma nova lista com os resultados.";"Reverter a ordem dos elementos em uma lista.";"Filtrar elementos de uma lista que sao pares.";"Aplicar uma funcao a cada elemento de uma lista e retornar uma nova lista com os resultados."
"M2_Q14";2;"O que sao as funcoes `lambda` em Haskell?";"b";"Funcoes que so podem ser usadas para loops.";"Funcoes anonimas sem nome frequentemente usadas como argumentos para funcoes de ordem superior.";"Funcoes que sempre retornam uma lista vazia.";"Funcoes que sempre recebem dois argumentos.";"Funcoes que sao nomeadas com a palavra-chave `lambda`.";"Funcoes anonimas sem nome frequentemente usadas como argumentos para funcoes de ordem superior."
"M2_Q15";2;"Qual das seguintes funcoes utilitarias e usada para remover uma quantidade x de elementos do inicio de uma lista?";"e";"`take`";"`head`";"`reverse`";"`length`";"`drop`";"`drop`"
"M2_Q16";2;"Qual a funcao da `list comprehension` (compreensao de lista) em Haskell?";"c";"Criar um loop infinito sobre uma lista.";"Apenas criar listas com progressoes aritmeticas.";"Permitir a criacao concisa de listas a partir de outras listas com filtros e transformacoes.";"Sempre retornar uma lista vazia.";"Permitir a criacao de uma lista com elementos de tipos diferentes.";"Permitir a criacao concisa de listas a partir de outras listas com filtros e transformacoes."
"M2_Q17";2;"No contexto de uma funcao recursiva sobre listas o que representa o caso base?";"d";"A parte da funcao que se chama novamente.";"A parte da funcao que lida com o erro.";"A condicao que verifica se a lista esta cheia.";"A condicao de parada geralmente para uma lista vazia que retorna um valor sem fazer uma chamada recursiva.";"A parte da funcao que adiciona um elemento no final da lista.";"A condicao de parada geralmente para uma lista vazia que retorna um valor sem fazer uma chamada recursiva."
"M2_Q18";2;"O que acontece se uma funcao recursiva nao tiver um caso base adequado?";"a";"A funcao entra em um loop infinito ou gera um erro de pilha (stack overflow).";"O compilador de Haskell corrige o erro automaticamente.";"A funcao retorna um valor nulo.";"O programa continua a execucao normalmente.";"A funcao sempre retorna 0.";"A funcao entra em um loop infinito ou gera um erro de pilha (stack overflow)."
"M2_Q19";2;"Qual dos seguintes tipos de dados nao e um tipo primitivo em Haskell?";"e";"Bool.";"Int.";"Char.";"Float.";"Listas.";"Listas."
"M2_Q20";2;"De acordo com o material qual das seguintes afirmacoes sobre a linguagem Haskell e verdadeira?";"b";"Haskell nao permite a criacao de listas infinitas.";"Haskell e estaticamente e fortemente tipada.";"Haskell permite o uso de variaveis mutaveis.";"Haskell e uma linguagem puramente imperativa.";"Haskell possui uma sintaxe baseada em C e Java.";"Haskell e estaticamente e fortemente tipada."
"M3_Q01";3;"De acordo com o material como sao classificadas as linguagens que sao voltadas para a maquina e usam instrucoes do microprocessador?";"a";"Linguagens de baixo nivel.";"Linguagens de alto nivel.";"Linguagens de programacao imperativas.";"Linguagens Assembly modernas.";"Linguagens de nivel intermediario.";"Linguagens de baixo nivel."
"M3_Q02";3;"O que caracteriza as linguagens de alto nivel?";"c";"Elas dependem da arquitetura do computador.";"Elas utilizam apenas o paradigma imperativo.";"Elas utilizam sintaxe mais estruturada facilitando o entendimento e edicao dos programas.";"Elas nao necessitam de um tradutor para a maquina.";"Elas sao escritas utilizando as instrucoes do microprocessador.";"Elas utilizam sintaxe mais estruturada facilitando o entendimento e edicao dos programas."
"M3_Q03";3;"Qual dos seguintes nao e um paradigma de linguagem de programacao mencionado no fluxograma do material?";"d";"Declarativo.";"Imperativo.";"Orientado a objetos.";"Paralelo.";"Funcional.";"Paralelo."
"M3_Q04";3;"Qual das seguintes linguagens e citada como exemplo de paradigma imperativo?";"c";"Lisp.";"Haskell.";"C.";"Prolog.";"Eiffel.";"C."
"M3_Q05";3;"O que caracteriza o paradigma funcional de acordo com o material?";"b";"Estado e atribuicao.";"Funcao aplicacao e avaliacao.";"Relacao e deducao.";"Objeto e mensagem.";"Processo e comunicacao.";"Funcao aplicacao e avaliacao."
"M3_Q06";3;"Quais paradigmas compoem a linguagem C++ de acordo com o material?";"a";"Imperativo Orientado a Objetos e Concorrente.";"Apenas Orientado a Objetos.";"Funcional e Orientado a Objetos.";"Apenas Imperativo.";"Imperativo e Funcional.";"Imperativo Orientado a Objetos e Concorrente."
"M3_Q07";3;"Qual e a principal desvantagem da interpretacao conforme o material?";"b";"Falta de portabilidade.";"Problemas com eficiencia e maior consumo de memoria.";"Dificuldade para prototipacao.";"Problemas com depuracao.";"A sintaxe ser complexa.";"Problemas com eficiencia e maior consumo de memoria."
"M3_Q08";3;"O que uma linguagem de programacao "implementavel" deve ser?";"d";"Capaz de ser executada diretamente na maquina.";"Uma linguagem interpretada.";"Uma linguagem com sintaxe simples.";"Passivel de traducao para um formalismo que seja executavel em uma maquina.";"Uma linguagem que suporta multiplos paradigmas.";"Passivel de traducao para um formalismo que seja executavel em uma maquina."
"M3_Q09";3;"O que e a sintaxe de uma linguagem de programacao?";"e";"O significado de um programa.";"O comportamento de um programa em tempo de execucao.";"O conjunto de regras que definem o estado do programa.";"A traducao de um programa para linguagem de maquina.";"O formato do programa ou seja como as construcoes devem ser arranjadas.";"O formato do programa ou seja como as construcoes devem ser arranjadas."
"M3_Q10";3;"O que a semantica de uma linguagem de programacao descreve?";"c";"O formato de um programa.";"A performance de um programa.";"O significado de um programa.";"A velocidade de compilacao.";"A portabilidade do programa.";"O significado de um programa."
"M3_Q11";3;"Qual das seguintes frases sintaticamente corretas e citada como semanticamente incorreta no material?";"a";""Joao e um solteiro casado".";""A bola azul".";""A mesa esta no chao".";""O sol e quente".";""Cachorro latem muito".";""Joao e um solteiro casado"."
"M3_Q12";3;"Como a sintaxe de um programa e verificada?";"d";"Somente em tempo de execucao.";"Atraves de testes.";"Pela semantica do programa.";"Com o uso de compiladores.";"Por um interpretador.";"Com o uso de compiladores."
"M3_Q13";3;"O que a Forma de Backus Naur (BNF) e usada para definir?";"a";"A sintaxe de uma linguagem.";"A semantica de uma linguagem.";"O comportamento de um programa.";"A eficiencia de um programa.";"A portabilidade do codigo.";"A sintaxe de uma linguagem."
"M3_Q14";3;"Qual e a principal vantagem da compilacao de acordo com o material?";"e";"Portabilidade.";"Facilidade de prototipacao.";"Facilidade de depuracao.";"Menor consumo de memoria.";"Eficiencia.";"Eficiencia."
"M3_Q15";3;"Na fase de Analise Lexica de um compilador o que o codigo fonte e transformado?";"a";"Em linguagem de maquina.";"Em uma arvore abstrata.";"Em uma sequencia de caracteres.";"Em um programa executavel.";"Em um conjunto de tokens.";"Em um conjunto de tokens."
"M3_Q16";3;"Qual e o nome da fase de compilacao que cria uma arvore abstrata a partir da gramatica da LP?";"d";"Analise Lexica.";"Analise Semantica.";"Otimizacao de codigo.";"Analise Sintatica.";"Traducao para linguagem intermediaria.";"Analise Sintatica."
"M3_Q17";3;"O que um compilador faz?";"b";"Executa o programa diretamente.";"Traduz um programa fonte para um programa objeto semanticamente equivalente.";"Apenas verifica a sintaxe de um programa.";"Apenas interpreta o codigo em tempo de execucao.";"Gera um codigo intermediario que nao precisa ser traduzido.";"Traduz um programa fonte para um programa objeto semanticamente equivalente."
"M3_Q18";3;"No caso de linguagens interpretadas como Java e C# o que e a linguagem intermediaria gerada a partir do codigo fonte?";"c";"Linguagem de maquina.";"Linguagem Assembly.";"Bytecode.";"Codigo executavel.";"Linguagem de alto nivel.";"Bytecode."
"M3_Q19";3;"O que significa um programa ser "sintaticamente correto" mas "semanticamente incorreto"?";"b";"Que ele nao pode ser compilado.";"Que ele pode ser gramaticalmente correto mas expressa um significado que nao pode ser verdadeiro.";"Que ele nao pode ser executado.";"Que ele nao e portavel.";"Que a semantica do programa melhora a legibilidade.";"Que ele pode ser gramaticalmente correto mas expressa um significado que nao pode ser verdadeiro."
"M3_Q20";3;"Qual dos seguintes pares de linguagens sao citados como sendo sintaticamente diferentes mas semanticamente identicos para um determinado trecho de codigo?";"a";"Pascal e C.";"Python e Java.";"Haskell e C++.";"Lisp e Prolog.";"C# e Python.";"Pascal e C."
"M4_Q01";"4";"O que e um "valor" em programacao de acordo com a definicao apresentada no material?";"e";"Um conjunto de dados para processamento.";"Um tipo de dado que pode ser decomposto.";"Um erro que ocorre durante a execucao.";"Um comando que altera o estado do programa.";"Qualquer entidade que pode ser manipulada por um programa.";"Qualquer entidade que pode ser manipulada por um programa."
"M4_Q02";"4";"Qual e a principal diferenca entre um valor de "primeira classe" e um de "segunda classe"?";"a";"Valores de primeira classe nao tem restricoes de uso enquanto os de segunda classe tem.";"Valores de segunda classe sao mais eficientes.";"Valores de primeira classe podem ser decompostos enquanto os de segunda classe nao.";"Valores de primeira classe so podem ser passados como argumentos.";"Valores de segunda classe so podem ser retornados de funcoes.";"Valores de primeira classe nao tem restricoes de uso enquanto os de segunda classe tem."
"M4_Q03";"4";"De acordo com o material qual das seguintes linguagens nao possui um tipo booleano primitivo e usa a convencao de que 0 representa falso?";"c";"Java.";"Ada.";"C.";"Python.";"Haskell.";"C."
"M4_Q04";"4";"O que e um "tipo" na programacao conforme a definicao mais precisa do material?";"d";"Uma variavel que armazena um valor.";"Qualquer conjunto de valores.";"Uma forma de organizar dados.";"Um conjunto de valores equipado com um conjunto de operacoes.";"A sintaxe de uma linguagem.";"Um conjunto de valores equipado com um conjunto de operacoes."
"M4_Q05";"4";"Um tipo cujos valores sao atomicos e impossiveis de decompor e classificado como:";"a";"Tipo primitivo.";"Tipo composto.";"Tipo recursivo.";"Tipo de primeira classe.";"Tipo de segunda classe.";"Tipo primitivo."
"M4_Q06";"4";"Qual dos seguintes nao e um tipo composto mencionado no material?";"e";"Tuplas.";"Arrays.";"Unioes.";"Objetos.";"Inteiros.";"Inteiros."
"M4_Q07";"4";"Em um produto cartesiano o que e agrupado?";"b";"Apenas valores de tipos identicos.";"Valores de varios tipos (possivelmente diferentes) em tuplas.";"Funcoes e arrays.";"Apenas valores de tipo primitivo.";"Nenhum valor e agrupado.";"Valores de varios tipos (possivelmente diferentes) em tuplas."
"M4_Q08";"4";"Qual e a principal diferenca entre um tipo "monomorfico" e um "polimorfico"?";"c";"Monomorfismo diminui a flexibilidade enquanto polimorfismo a aumenta.";"Monomorfismo facilita a verificacao de tipos enquanto polimorfismo nao.";"Monomorfismo associa um tipo especifico a uma entidade enquanto polimorfismo permite que a abstracao atue sobre multiplos tipos.";"Monomorfismo e usado em linguagens fracamente tipadas polimorfismo em fortemente tipadas.";"Nao ha diferenca significativa.";"Monomorfismo associa um tipo especifico a uma entidade enquanto polimorfismo permite que a abstracao atue sobre multiplos tipos."
"M4_Q09";"4";"O que caracteriza o polimorfismo do tipo "ad-hoc"?";"d";"A abstracao atua uniformemente sobre uma familia de tipos.";"E sinonimo de heranca.";"A funcao e identificada pelo tipo do retorno.";"A abstracao atua sobre um numero finito de tipos nao relacionados mas se comporta diferentemente dependendo do tipo.";"Ele permite a criacao de codigo generico.";"A abstracao atua sobre um numero finito de tipos nao relacionados mas se comporta diferentemente dependendo do tipo."
"M4_Q10";"4";"Qual tipo de polimorfismo ocorre quando um identificador e aplicavel a mais de uma operacao e o compilador consegue distinguir a operacao a ser chamada usando somente informacoes de tipo?";"a";"Sobrecarga.";"Coercao.";"Inclusao.";"Parametrico.";"Universal.";"Sobrecarga."
"M4_Q11";"4";"O que e a "coercao" no contexto de sistemas de tipos?";"b";"Um tipo de polimorfismo ad-hoc.";"Uma conversao implicita de tipo realizada automaticamente pelo compilador.";"A redefinicao de um metodo em uma subclasse.";"Um tipo de casting explicito.";"A identificacao da funcao pelo tipo do parametro.";"Uma conversao implicita de tipo realizada automaticamente pelo compilador."
"M4_Q12";"4";"Qual o principal conceito por tras do polimorfismo de "inclusao"?";"e";"Heranca multipla.";"Interfaces.";"Funcoes genericas.";"Sobrecarga de operadores.";"Um tipo pode ter subtipos que herdam suas caracteristicas.";"Um tipo pode ter subtipos que herdam suas caracteristicas."
"M4_Q13";"4";"No polimorfismo universal uma unica abstracao atua de maneira uniforme sobre uma familia de tipos. Qual das seguintes opcoes e um exemplo desse tipo de polimorfismo?";"d";"Sobrecarga.";"Coercao.";"Subtipo.";"Parametrico.";"Heranca.";"Parametrico."
"M4_Q14";"4";"O que e um sistema de tipo "fortemente tipado"?";"b";"Um sistema que permite conversao implicita de tipos.";"Um sistema que e mais propenso a gerar erros ou nao compilar quando os tipos esperados nao correspondem.";"Um sistema onde o tipo de uma variavel pode mudar dinamicamente.";"Um sistema que nao exige a declaracao de tipos para variaveis.";"Um sistema que usa coercao extensivamente.";"Um sistema que e mais propenso a gerar erros ou nao compilar quando os tipos esperados nao correspondem."
"M4_Q15";"4";"Em uma linguagem com tipagem estatica o que determina o tipo das expressoes?";"c";"A execucao do programa.";"Apenas os valores que a expressao pode assumir.";"O tempo de compilacao.";"O tipo de retorno da funcao onde a expressao se encontra.";"O tipo de dado de uma variavel.";"O tempo de compilacao."
"M4_Q16";"4";"Qual das seguintes linguagens e citada como sendo forte e dinamicamente tipada?";"a";"Python.";"C.";"Java.";"JavaScript.";"Haskell.";"Python."
"M4_Q17";"4";"Em Java um exemplo de sobrecarga independente de contexto e:";"e";"O operador `+` para inteiros.";"A divisao de ponto flutuante por inteiros.";"O uso de `break` em um loop.";"A redefinicao de um metodo em uma subclasse.";"A definicao de dois metodos com o mesmo nome mas com tipos de parametros diferentes.";"A definicao de dois metodos com o mesmo nome mas com tipos de parametros diferentes."
"M4_Q18";"4";"Qual a desvantagem do uso irrestrito de coerçao?";"d";"Aumento da verbosidade do codigo.";"Obriga o programador a declarar todos os tipos de forma explicita.";"Melhora a legibilidade.";"Pode levar a resultados inesperados e erros dificeis de depurar.";"Melhora o desempenho do programa.";"Pode levar a resultados inesperados e erros dificeis de depurar."
"M4_Q19";"4";"O que a heranca caracteriza de acordo com o material?";"a";"Apenas uma relacao entre implementacoes para reuso de codigo.";"Sempre uma relacao de subtipagem.";"Uma forma de polimorfismo universal.";"Um tipo de coerçao.";"Um tipo de polimorfismo ad-hoc.";"Apenas uma relacao entre implementacoes para reuso de codigo."
"M4_Q20";"4";"O que o polimorfismo parametrico permite de acordo com o material?";"b";"Que o codigo seja escrito de forma monomorfica.";"Que uma abstracao possa ser escrita de forma generica tratando valores sem considerar o tipo especifico.";"Apenas o uso de heranca.";"A sobrecarga de operadores.";"A conversao implicita de tipos.";"Que uma abstracao possa ser escrita de forma generica tratando valores sem considerar o tipo especifico."
"M5_Q01";"5";"De acordo com o material qual arquitetura de computadores exerceu um efeito crucial sobre o projeto das linguagens de programacao imperativas?";"c";"Arquitetura de Harvard.";"Arquitetura de Babbage.";"Arquitetura de von Neumann.";"Arquitetura de Princeton.";"Arquitetura de Turing.";"Arquitetura de von Neumann."
"M5_Q02";"5";"Na programacao imperativa o que as variaveis modelam?";"b";"As instrucoes da CPU.";"As celulas de memoria.";"Os sistemas de entrada e saida.";"A unidade de controle.";"Os registradores.";"As celulas de memoria."
"M5_Q03";"5";"O que sao variaveis "persistentes" segundo a classificacao do material?";"a";"Variaveis que tem existencia independente do tempo de vida de um programa como arquivos.";"Variaveis que sao criadas e usadas dentro de um programa.";"Variaveis que armazenam valores de tipos primitivos.";"Variaveis que armazenam valores de tipos compostos.";"Variaveis que sao alocadas na Stack.";"Variaveis que tem existencia independente do tempo de vida de um programa como arquivos."
"M5_Q04";"5";"Qual tipo de variavel e alocada dinamicamente podendo ser criada e destruida a qualquer instante?";"e";"Variaveis primitivas.";"Variaveis temporarias.";"Variaveis estaticas.";"Variaveis da Stack.";"Variaveis da Heap.";"Variaveis da Heap."
"M5_Q05";"5";"O que e um "dangling reference" (referencia solta)?";"c";"Um apontador que nunca foi inicializado.";"Uma variavel que aponta para um endereco de memoria valido.";"Um apontador para uma variavel heap que ja foi desalocada.";"Um tipo de dado primitivo.";"Um erro de compilacao.";"Um apontador para uma variavel heap que ja foi desalocada."
"M5_Q06";"5";"No contexto de escopo o que define o "tempo de vida" de uma variavel?";"b";"A parte do programa onde a variavel pode ser acessada.";"O intervalo de tempo entre sua criacao e sua destruicao.";"A sua declaracao no inicio da execucao.";"O escopo do bloco onde ela esta.";"O tamanho da variavel.";"O intervalo de tempo entre sua criacao e sua destruicao."
"M5_Q07";"5";"Em linguagens com escopo lexico o que determina o escopo de uma variavel?";"a";"A estrutura textual do programa.";"A ordem de execucao das rotinas.";"A linha de execucao do programa.";"O valor da variavel em tempo de execucao.";"O tamanho do programa.";"A estrutura textual do programa."
